06/22/2025 06:06:09.663 | INFO  | cli-chess | main_model._start_loggers | cli-chess v1.4.3 // python 3.12.0
06/22/2025 06:06:09.663 | INFO  | cli-chess | main_model._start_loggers | System information: system=Linux // release=6.12.11_1 // machine=x86_64
06/22/2025 06:06:09.664 | DEBUG | cli-chess | argparse.parse_args | Parsed arguments: Namespace(token=None, reset_config=False, base_url='https://lichess.org', print_config=False)
06/22/2025 06:06:09.664 | DEBUG | cli-chess | token_manager_model.set_base_url | Base URL set to: https://lichess.org
06/22/2025 06:06:10.481 | INFO  | cli-chess | token_manager_model.validate_token | Successfully authenticated with Lichess
06/22/2025 06:06:10.484 | INFO  | cli-chess | incoming_event_manger.run | Started listening to Lichess incoming events
06/22/2025 06:06:16.043 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: OfflineGamesMenuOptions.VS_COMPUTER
06/22/2025 06:06:16.923 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ONLINE_GAMES
06/22/2025 06:06:17.167 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.SETTINGS
06/22/2025 06:06:21.541 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ONLINE_GAMES
06/22/2025 06:06:21.974 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.OFFLINE_GAMES
06/22/2025 06:06:24.974 | DEBUG | cli-chess | board_model._log_init_info | =============== BOARD INITIALIZATION ===============
06/22/2025 06:06:24.975 | DEBUG | cli-chess | board_model._log_init_info | Variant: chess
06/22/2025 06:06:24.975 | DEBUG | cli-chess | board_model._log_init_info | Starting FEN: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
06/22/2025 06:06:24.975 | DEBUG | cli-chess | board_model._log_init_info | Orientation: black
06/22/2025 06:06:24.976 | DEBUG | cli-chess | board_model._log_init_info | ====================================================
06/22/2025 06:06:24.978 | DEBUG | cli-chess | game_model_base.__init__ | Created OfflineGameModel (id=140362258387152)
06/22/2025 06:06:24.997 | DEBUG | cli-chess | game_view_base.__init__ | Created OfflineGameView (id=140362259228544)
06/22/2025 06:06:24.998 | DEBUG | cli-chess | game_presenter_base.__init__ | Created OfflineGamePresenter (id=140362258396704)
06/22/2025 06:06:25.309 | DEBUG | cli-chess | ui_common.change_views | View changed to OfflineGameView (id=140362259228544)
06/22/2025 06:06:27.331 | DEBUG | cli-chess | engine_model.get_best_move | Returning <PlayResult at 0x7fa8a3a98b00 (move=e2e3, ponder=e7e6, info={}, draw_offered=False, resigned=False)>
